details,date,city,state,country,shape,summary,report_date,posted_date,image,,,,,,
https://nuforc.org/sighting/?id=159506,9/20/20 22:00,Vancouver (Canada),BC,Canada,Light,a small bright orange star,9/21/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159441,9/20/20 22:00,Fort Albany (Canada),ON,Canada,Diamond,"while outside our residence, three lights in a diamond shape moved erratically in the sky above our location and disappeared into the e",9/20/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159448,9/20/20 20:50,Virginia Beach,VA,USA,Circle,Orange glow in the sky,9/20/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159502,9/20/20 20:15,Post Falls,ID,USA,Light,Supposed satellite changes course after several flashes in sky,9/21/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159500,9/20/20 20:00,Middlefield,OH,USA,Diamond,We were coming back outside to stoke the fire and have a seat. I looked above us to the night sky to see a solitary bluish light about,9/21/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159501,9/20/20 20:00,Rossville,KS,USA,Changing,My friend and I saw a pink/orange light expel a dark object and then dissappear.,9/21/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159442,9/20/20 19:50,Everett,WA,USA,Formation,"it started as three hovering, bright gold/white lights in a triangle formation just above Snohomish river/farmland. One became dim afte",9/20/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159515,9/20/20 19:24,Sparta,NC,USA,Other,"Long bright lines in sky heading different directions, only appeared right after the sun went down.",9/23/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=162003,9/20/20 17:00,Alberta (rural)(Canada),AB,Canada,Other,Id like to submit a video for your assessment.,2/11/21,3/2/21,,,,,,,
https://nuforc.org/sighting/?id=159536,9/20/20 15:30,Riverton,WY,USA,Sphere,dull metallic sphere stationary in the sky for approximately 10 minutes,9/24/20,11/5/20,,,,,,,
